frequency,amplitude,phase,I,Q
7486000000.0,-14.652875799412632,-1.8237305039488962,-0.04631515219807625,-0.17918983101844788
7486010000.0,-14.628780089103655,-1.8273811869196062,-0.047099485993385315,-0.17951686680316925
7486020000.0,-14.69419605223341,-1.8260165098355023,-0.04650291055440903,-0.1782335788011551
7486030000.0,-14.588472437527882,-1.8338432802546456,-0.04848301783204079,-0.1800423264503479
7486040000.0,-14.643563890134935,-1.8335226518040146,-0.04811911657452583,-0.17891943454742432
7486050000.0,-14.612233466648378,-1.837638891283354,-0.04903172329068184,-0.17936566472053528
7486060000.0,-14.639419849687132,-1.8380244620879667,-0.04894743487238884,-0.1787862777709961
7486070000.0,-14.645767422360581,-1.8399770572437781,-0.04926042631268501,-0.1785598248243332
7486080000.0,-14.682045186253506,-1.8403549879608139,-0.04912231117486954,-0.17779704928398132
7486090000.0,-14.659750616476071,-1.844188375387595,-0.04993151128292084,-0.17806389927864075
7486100000.0,-14.756743342706802,-1.8408754174295197,-0.048793405294418335,-0.1762491911649704
7486110000.0,-14.632041716742705,-1.8510107421848083,-0.05130857601761818,-0.17828695476055145
7486120000.0,-14.598853265298246,-1.8551134644808047,-0.0522388257086277,-0.17875666916370392
7486130000.0,-14.635169818328212,-1.855612201083216,-0.05210964009165764,-0.17798486351966858
7486140000.0,-14.683518552025678,-1.855866908503464,-0.05186546593904495,-0.17698368430137634
7486150000.0,-14.655264268926897,-1.8595403991208774,-0.05268636718392372,-0.17736798524856567
7486160000.0,-14.621867215532212,-1.8650320220541745,-0.053866323083639145,-0.1777581423521042
7486170000.0,-14.690439442777265,-1.8629125380048115,-0.05306882783770561,-0.1764732003211975
7486180000.0,-14.638023075194813,-1.8693437766176635,-0.05453074723482132,-0.17719434201717377
7486190000.0,-14.661196304309797,-1.8707047682202889,-0.05462592467665672,-0.17664805054664612
7486200000.0,-14.660709940970754,-1.8740493488649428,-0.05521952360868454,-0.17647424340248108
7486210000.0,-14.669347550783362,-1.8754728118465962,-0.05541553720831871,-0.1762201339006424
7486220000.0,-14.654888220305967,-1.8801464486215047,-0.056332215666770935,-0.17625238001346588
7486230000.0,-14.62789162777495,-1.884724784953755,-0.057316433638334274,-0.17654047906398773
7486240000.0,-14.674539163641914,-1.8846623002210994,-0.056998468935489655,-0.17559847235679626
7486250000.0,-14.679690536683905,-1.887472174712674,-0.057457566261291504,-0.17533360421657562
7486260000.0,-14.642584054945953,-1.8937437080689559,-0.058806728571653366,-0.17571888864040375
7486270000.0,-14.656514732685956,-1.8956355940371867,-0.05904429033398628,-0.1753259003162384
7486280000.0,-14.652826762902059,-1.899636180991202,-0.05977059528231621,-0.1751626431941986
7486290000.0,-14.702818311074488,-1.8990835272149997,-0.059331316500902176,-0.1741902083158493
7486300000.0,-14.656494139855115,-1.9058382908901677,-0.06083012744784355,-0.17471478879451752
7486310000.0,-14.654058435968672,-1.9092826940264915,-0.06144878268241882,-0.17455317080020905
7486320000.0,-14.703056384116874,-1.9089313112264052,-0.06104212626814842,-0.1735927313566208
7486330000.0,-14.696653154630406,-1.9120460211837171,-0.061627935618162155,-0.17352963984012604
7486340000.0,-14.674650302546432,-1.917509961612546,-0.06273388117551804,-0.17362959682941437
7486350000.0,-14.673091530177675,-1.922031527631614,-0.06352971494197845,-0.17337527871131897
7486360000.0,-14.671778722924005,-1.9251390217727298,-0.06407785415649414,-0.17320320010185242
7486370000.0,-14.651146818662022,-1.9307546888812042,-0.0652041882276535,-0.173251673579216
7486380000.0,-14.695179170665682,-1.9304848180703644,-0.06482795625925064,-0.17239311337471008
7486390000.0,-14.645458749220555,-1.9386400187098902,-0.06661190092563629,-0.1728452891111374
7486400000.0,-14.642309589627228,-1.9423843054033514,-0.06728300452232361,-0.17265725135803223
7486410000.0,-14.697134162419811,-1.9418977523547556,-0.06677617132663727,-0.17160339653491974
7486420000.0,-14.654326602600129,-1.9495372325330809,-0.06842155009508133,-0.17193353176116943
7486430000.0,-14.660408677606103,-1.9526562163576577,-0.06890920549631119,-0.17159909009933472
7486440000.0,-14.667426843848032,-1.955918250182081,-0.06941249221563339,-0.17123498022556305
7486450000.0,-14.667944362153198,-1.9599974983464805,-0.07010624557733536,-0.17094022035598755
7486460000.0,-14.651388377308932,-1.965921498040555,-0.07125334441661835,-0.17084725201129913
7486470000.0,-14.689177704438324,-1.966840985795318,-0.0711003988981247,-0.17004026472568512
7486480000.0,-14.697278234611543,-1.9705176565116165,-0.07165823876857758,-0.16961944103240967
7486490000.0,-14.67460899184373,-1.976957128409613,-0.07293912023305893,-0.16959653794765472
7486500000.0,-14.667638219672867,-1.9816837162400247,-0.07379911839962006,-0.16938577592372894
7486510000.0,-14.679518233931939,-1.9847232114103353,-0.07421205192804337,-0.16892947256565094
7486520000.0,-14.634653517145232,-1.992958825606015,-0.07599226385354996,-0.16918419301509857
7486530000.0,-14.705756897205378,-1.9920638594944036,-0.07522251456975937,-0.16787227988243103
7486540000.0,-14.698500890607018,-1.9972620410392297,-0.07615771889686584,-0.16761896014213562
7486550000.0,-14.720237049030942,-1.9995611387462473,-0.0763515830039978,-0.16702492535114288
7486560000.0,-14.697371020169594,-2.0062673411247474,-0.07767417281866074,-0.16694806516170502
7486570000.0,-14.674724691514589,-2.0134493054424123,-0.07907707989215851,-0.16682028770446777
7486580000.0,-14.686524840870081,-2.01736689659997,-0.07962176203727722,-0.16628316044807434
7486590000.0,-14.71582224025747,-2.0188806512670685,-0.07960442453622818,-0.1656029224395752
