frequency,amplitude,phase,I,Q
6412000000.0,-8.055314591464608,-0.062378319325620914,0.39481058716773987,-0.024659613147377968
6412060000.0,-8.058297582036628,-0.0634346636807286,0.3946487605571747,-0.025068044662475586
6412120000.0,-8.060058964665602,-0.06429676901899095,0.3945469856262207,-0.025403112173080444
6412180000.0,-8.064738049228296,-0.06488705396213688,0.39431944489479065,-0.02562219649553299
6412240000.0,-8.063443587183954,-0.06645102918172408,0.39433765411376953,-0.026242781430482864
6412300000.0,-8.067418041278849,-0.0677537714661869,0.39412274956703186,-0.026744239032268524
6412360000.0,-8.070781389482706,-0.06871918842251498,0.3939441740512848,-0.02711421810090542
6412420000.0,-8.071120093835875,-0.06886473639576006,0.39392486214637756,-0.027170496061444283
6412480000.0,-8.07203926461677,-0.07101136948899792,0.3938239514827728,-0.02801308035850525
6412540000.0,-8.076557987786083,-0.07228064751527491,0.3935832679271698,-0.028498100116848946
6412600000.0,-8.075203492694351,-0.0732204040101961,0.3936176896095276,-0.02887246198952198
6412660000.0,-8.081534455510669,-0.07397037329775295,0.3933091461658478,-0.029146403074264526
6412720000.0,-8.083753020233178,-0.07575764636490599,0.3931559920310974,-0.02984168380498886
6412780000.0,-8.086834706468576,-0.07661237039603147,0.3929908871650696,-0.030167007818818092
6412840000.0,-8.089447705231617,-0.07865513380952328,0.39281025528907776,-0.030960416421294212
6412900000.0,-8.088956157355177,-0.08071118442630709,0.392767995595932,-0.03176978603005409
6412960000.0,-8.091522179121394,-0.08263550757077526,0.39259013533592224,-0.032515931874513626
6413020000.0,-8.093923473835831,-0.08394684520999174,0.3924386501312256,-0.03302159160375595
6413080000.0,-8.100093146302804,-0.08588784043051712,0.3920952081680298,-0.033759262412786484
6413140000.0,-8.098716021948748,-0.08811517136943545,0.39208120107650757,-0.034637995064258575
6413200000.0,-8.105337203072136,-0.08927434586067828,0.3917420506477356,-0.03506572172045708
6413260000.0,-8.10666825636205,-0.09146096462150637,0.3916044235229492,-0.03591672331094742
6413320000.0,-8.109511941200914,-0.09286195364321909,0.39142554998397827,-0.03645338490605354
6413380000.0,-8.109245921211114,-0.09466452338055167,0.3913711905479431,-0.037160035222768784
6413440000.0,-8.114215442578297,-0.09681382221216744,0.39106661081314087,-0.03797938674688339
6413500000.0,-8.11758278385163,-0.0979422601236404,0.39087194204330444,-0.03840576484799385
6413560000.0,-8.117955423062117,-0.09963899334311571,0.3907894492149353,-0.039067238569259644
6413620000.0,-8.123049790848277,-0.10070158053191933,0.3905186057090759,-0.039459314197301865
