frequency,amplitude,phase,I,Q
7324000000.0,-10.625326821626066,-1.464903230171711,0.031102074310183525,-0.29261335730552673
7324120000.0,-10.627819716447506,-1.4712220929447875,0.029244087636470795,-0.2927200198173523
7324240000.0,-10.635345297785612,-1.4766686100112274,0.02762541174888611,-0.29262131452560425
7324360000.0,-10.639343810536314,-1.482782205255214,0.02582404762506485,-0.2926499843597412
7324480000.0,-10.646224526300426,-1.4885687187628325,0.02411109395325184,-0.29256266355514526
7324600000.0,-10.65372819528789,-1.4943389473602404,0.022403186187148094,-0.2924441695213318
7324720000.0,-10.662699990770253,-1.4997480825562992,0.02079950086772442,-0.2922590374946594
7324840000.0,-10.668759837776179,-1.5060166841603633,0.018953820690512657,-0.29217976331710815
7324960000.0,-10.677018217450033,-1.5119837437080395,0.017193684354424477,-0.2920098900794983
7325080000.0,-10.686326774331867,-1.518075347055446,0.01539805717766285,-0.29179632663726807
7325200000.0,-10.695336672462707,-1.5236450953471896,0.013758315704762936,-0.29157495498657227
7325320000.0,-10.705112618329958,-1.529760494769174,0.011961502023041248,-0.29132556915283203
7325440000.0,-10.71281657437201,-1.5361987283643708,0.010076703503727913,-0.2911382019519806
7325560000.0,-10.727103626245693,-1.5421184165525612,0.008339361287653446,-0.29071417450904846
7325680000.0,-10.732598970963194,-1.5483924856297442,0.0065111275762319565,-0.29057687520980835
7325800000.0,-10.749170134194557,-1.5540678235725605,0.004852642770856619,-0.2900552451610565
7325920000.0,-10.7589188593571,-1.5607158622543489,0.00292097101919353,-0.2897557020187378
7326040000.0,-10.768848605989955,-1.5668172031406509,0.0011517119128257036,-0.28943705558776855
7326160000.0,-10.781970725836077,-1.5735097677861922,-0.0007841900223866105,-0.28900134563446045
7326280000.0,-10.791859852739378,-1.5801123324813893,-0.0026892456226050854,-0.28866103291511536
7326400000.0,-10.808143495077234,-1.5865929864808934,-0.004551347810775042,-0.28809693455696106
7326520000.0,-10.82082355089057,-1.5930229423976003,-0.006394349969923496,-0.2876414954662323
7326640000.0,-10.834753213309117,-1.5996346831021335,-0.00828271359205246,-0.2871320843696594
7326760000.0,-10.847485061127028,-1.6067263473577162,-0.010303618386387825,-0.28664565086364746
7326880000.0,-10.866616492105699,-1.613398534155161,-0.012189051136374474,-0.285940021276474
7327000000.0,-10.879609566054294,-1.6207067881707988,-0.01425708644092083,-0.28541603684425354
7327120000.0,-10.896546688776612,-1.6274622143749273,-0.016153324395418167,-0.2847574055194855
7327240000.0,-10.912488714746683,-1.6345909917549095,-0.01814952678978443,-0.2841130793094635
7327360000.0,-10.930536437497729,-1.6418574267067347,-0.02017156220972538,-0.2833842635154724
7327480000.0,-10.951286455895193,-1.649347034383394,-0.02224021963775158,-0.2825494408607483
7327600000.0,-10.964806860256651,-1.6570029298752729,-0.024364760145545006,-0.28193169832229614
7327720000.0,-10.987684805876189,-1.6646449821928058,-0.0264488086104393,-0.280996173620224
7327840000.0,-11.007638615362518,-1.6724253551057102,-0.028568536043167114,-0.2801375985145569
7327960000.0,-11.029012346528678,-1.6802719161319661,-0.030690137296915054,-0.2792168855667114
7328080000.0,-11.05271527004843,-1.6882475125019116,-0.03282635658979416,-0.27820301055908203
7328200000.0,-11.07235007314852,-1.696820587342777,-0.03513067215681076,-0.27728384733200073
7328320000.0,-11.096107570577471,-1.7051386524736483,-0.037333641201257706,-0.2762254774570465
7328440000.0,-11.123172892395948,-1.7130795735855737,-0.039402954280376434,-0.27506187558174133
7328560000.0,-11.144544909135375,-1.7218485685403608,-0.04171066731214523,-0.2740306854248047
7328680000.0,-11.170787280432428,-1.7308318292558253,-0.04403739050030708,-0.2728194296360016
7328800000.0,-11.20374490361377,-1.7395260436482183,-0.046231891959905624,-0.2713945209980011
7328920000.0,-11.228622422566128,-1.7486954099816723,-0.04857909306883812,-0.2701842486858368
7329040000.0,-11.259075907255017,-1.7586458731216534,-0.05108567699790001,-0.2687436044216156
7329160000.0,-11.287327077478151,-1.768245003345377,-0.053488731384277344,-0.26736980676651
7329280000.0,-11.324324247271981,-1.7778699526442265,-0.055821359157562256,-0.26570841670036316
7329400000.0,-11.357232960833223,-1.787919073564023,-0.05826745182275772,-0.26413142681121826
7329520000.0,-11.391306807572615,-1.7983364955946883,-0.06077691912651062,-0.26247841119766235
7329640000.0,-11.426821292514093,-1.8087558372116237,-0.06324928253889084,-0.2607625424861908
7329760000.0,-11.465345518408327,-1.8197563162350614,-0.0658213272690773,-0.25890016555786133
7329880000.0,-11.506947008961856,-1.8306548687798407,-0.06831103563308716,-0.25693389773368835
7330000000.0,-11.549861388737847,-1.8422710834647624,-0.07093960046768188,-0.2548607587814331
7330120000.0,-11.591253120460234,-1.8539537398408221,-0.07356075942516327,-0.25280702114105225
7330240000.0,-11.637112317975378,-1.8664484819535876,-0.07630973309278488,-0.25054189562797546
7330360000.0,-11.687754468339612,-1.8785257487886462,-0.07886877655982971,-0.2481509894132614
7330480000.0,-11.736171028597157,-1.8915751603365636,-0.08164382725954056,-0.24572715163230896
7330600000.0,-11.791231038462833,-1.904664308848128,-0.0843169167637825,-0.2430916279554367
7330720000.0,-11.843978237205688,-1.9187574871394306,-0.08720318973064423,-0.2404148131608963
7330840000.0,-11.902023107500133,-1.9327809882836924,-0.08996275812387466,-0.23757536709308624
7330960000.0,-11.964096654307038,-1.946979319854475,-0.09266217052936554,-0.23459163308143616
7331080000.0,-12.03006501158487,-1.9620119457648502,-0.09545040130615234,-0.2314080148935318
7331200000.0,-12.101121101701155,-1.9778237754391834,-0.09828992933034897,-0.2279970943927765
7331320000.0,-12.173425361854894,-1.994702016839423,-0.10127735137939453,-0.22442971169948578
7331440000.0,-12.254421515987818,-2.011589782804612,-0.1040777787566185,-0.2206205278635025
7331560000.0,-12.33494443957413,-2.029401962826437,-0.10699428617954254,-0.21671338379383087
7331680000.0,-12.421336110056098,-2.0475348345646243,-0.10980848968029022,-0.21261250972747803
7331800000.0,-12.517492765396494,-2.0661899684332177,-0.11250308901071548,-0.20820936560630798
7331920000.0,-12.618252751517646,-2.0861711708946897,-0.11529536545276642,-0.20354504883289337
7332040000.0,-12.72384817028139,-2.107889496462774,-0.11824222654104233,-0.19856451451778412
7332160000.0,-12.839853454961945,-2.129410174067416,-0.12086273729801178,-0.1933741271495819
7332280000.0,-12.965469462056634,-2.1531022691419057,-0.12360919266939163,-0.18772205710411072
7332400000.0,-13.094173447182136,-2.1768352122278616,-0.12614606320858002,-0.1820186972618103
7332520000.0,-13.239031904741957,-2.202092185956405,-0.12854087352752686,-0.17581813037395477
7332640000.0,-13.391344270782914,-2.2294725848194332,-0.13098883628845215,-0.16923928260803223
7332760000.0,-13.559613669564115,-2.2579276264275077,-0.13314631581306458,-0.162269726395607
7332880000.0,-13.738820081739462,-2.2882202611928646,-0.13518202304840088,-0.15493278205394745
7333000000.0,-13.935496428727953,-2.319977099812484,-0.13689804077148438,-0.14719152450561523
7333120000.0,-14.139759945529315,-2.353738873467587,-0.13849303126335144,-0.13917487859725952
7333240000.0,-14.373737891359859,-2.3894903733694766,-0.13956843316555023,-0.13057059049606323
7333360000.0,-14.618942160985917,-2.4274448668362596,-0.1404024064540863,-0.1216961219906807
7333480000.0,-14.889519114960157,-2.468913826188659,-0.14086952805519104,-0.11222000420093536
7333600000.0,-15.182926704155424,-2.513140794251264,-0.14085401594638824,-0.10236512869596481
7333720000.0,-15.510463493647231,-2.5602921796155624,-0.14013700187206268,-0.09207403659820557
7333840000.0,-15.865793812849866,-2.611848533956986,-0.13889579474925995,-0.08133367449045181
7333960000.0,-16.247954623108715,-2.6683167451762393,-0.1370980441570282,-0.07020708173513412
7334080000.0,-16.67281175580275,-2.7289673378476302,-0.1343657672405243,-0.058819424360990524
7334200000.0,-17.13471161966528,-2.796451965924373,-0.13087807595729828,-0.047054778784513474
7334320000.0,-17.639197919978347,-2.8702397441238117,-0.1264302134513855,-0.03517480939626694
7334440000.0,-18.185501399769798,-2.9511072566346246,-0.12100343406200409,-0.023332273587584496
7334560000.0,-18.768932850089787,-3.0407861433175065,-0.11464179307222366,-0.011595944873988628
7334680000.0,-19.395522696021395,-3.142822766416851,-0.10720709711313248,0.0001318768918281421
7334800000.0,-20.055088779932962,-3.2557799558452634,-0.09872066229581833,0.011321896687150002
7334920000.0,-20.726591346764714,-3.385664177441767,-0.08924918621778488,0.02222629450261593
7335040000.0,-21.394317940237073,-3.5325448563150843,-0.07874317467212677,0.0324554517865181
7335160000.0,-22.01233365996299,-3.696223460112786,-0.06742962449789047,0.04177230969071388
7335280000.0,-22.528854555325374,-3.882276984061877,-0.05515917018055916,0.050434522330760956
7335400000.0,-22.88711054877205,-4.084558765254185,-0.042128026485443115,0.058043837547302246
7335520000.0,-23.026799501289503,-4.298224223156174,-0.028401773422956467,0.06460943818092346
7335640000.0,-22.92465489055794,-4.514125691692115,-0.014065675437450409,0.0700124129652977
7335760000.0,-22.582360137851182,-4.726393372655069,0.0010402364423498511,0.074274443089962
7335880000.0,-22.04430910230289,-4.926360023107756,0.01678110472857952,0.0772264301776886
7336000000.0,-21.37812795056369,-5.109685711251499,0.033015865832567215,0.07868219912052155
7336120000.0,-20.633262849117887,-5.275571548027321,0.04963413625955582,0.07861065864562988
7336240000.0,-19.86835588248339,-5.425095366764452,0.06638696044683456,0.0768149346113205
7336360000.0,-19.11721533116391,-5.5589788892212955,0.08291551470756531,0.07334189862012863
7336480000.0,-18.39513205859102,-5.681150830204066,0.09914439916610718,0.06812486052513123
7336600000.0,-17.717641158727957,-5.790312823136165,0.11457310616970062,0.06153532862663269
7336720000.0,-17.086856446166806,-5.892277070552008,0.1292986124753952,0.05328615754842758
7336840000.0,-16.51361056500603,-5.9856358350896866,0.14282479882240295,0.04379769042134285
7336960000.0,-15.991610171214525,-6.071565385222935,0.15510347485542297,0.03332189470529556
7337080000.0,-15.517545617379398,-6.151032981858965,0.1660807579755783,0.022076625376939774
7337200000.0,-15.083438692647315,-6.2259573204455805,0.17583952844142914,0.010073942132294178
7337320000.0,-14.693596660080363,-6.2946615862348345,0.18420082330703735,-0.0021140328608453274
7337440000.0,-14.340915964435574,-6.359125154650417,0.19129373133182526,-0.014554806053638458
7337560000.0,-14.025210682014047,-6.4199979610691225,0.19708892703056335,-0.027133764699101448
7337680000.0,-13.738109843135378,-6.476697097645443,0.20179563760757446,-0.03954467922449112
7337800000.0,-13.486204673545245,-6.529635189069494,0.20528870820999146,-0.05164319649338722
7337920000.0,-13.250219616428165,-6.580194758001366,0.20799122750759125,-0.06365832686424255
7338040000.0,-13.043536276902131,-6.627318922371304,0.20969238877296448,-0.07515261322259903
7338160000.0,-12.854833441512563,-6.671758303255843,0.21067431569099426,-0.08624748885631561
7338280000.0,-12.68476294187004,-6.713751584519592,0.21095824241638184,-0.0968945100903511
7338400000.0,-12.529518251254206,-6.753513044631657,0.2106717824935913,-0.1071009561419487
7338520000.0,-12.393795666576375,-6.790868200204054,0.20977739989757538,-0.11670348048210144
7338640000.0,-12.264331111530877,-6.826354835160005,0.2085908055305481,-0.12593591213226318
7338760000.0,-12.152677283169675,-6.859726803998295,0.20691551268100739,-0.1345440298318863
7338880000.0,-12.052463363389512,-6.890423953263063,0.20504063367843628,-0.14246562123298645
7339000000.0,-11.95655210396258,-6.92167354974681,0.20271536707878113,-0.15045467019081116
7339120000.0,-11.873321078612687,-6.95008437188484,0.20026947557926178,-0.1576559841632843
7339240000.0,-11.79266450523889,-6.97734422789519,0.19772548973560333,-0.16457723081111908
7339360000.0,-11.721455704087367,-7.003304426257786,0.19497883319854736,-0.1710507720708847
7339480000.0,-11.659569980790202,-7.028376085368013,0.19199253618717194,-0.17714257538318634
7339600000.0,-11.602213537196963,-7.0516559102571605,0.18906137347221375,-0.1827666312456131
7339720000.0,-11.547328175090005,-7.07419092684281,0.1860671043395996,-0.18816561996936798
7339840000.0,-11.49745021825609,-7.096178683246116,0.18293258547782898,-0.1933179348707199
7339960000.0,-11.457236368591895,-7.1164974230186395,0.17979761958122253,-0.1979088932275772
7340080000.0,-11.413909138594782,-7.13666461339678,0.1766490340232849,-0.2025020271539688
7340200000.0,-11.378909446413903,-7.155497499578596,0.17350195348262787,-0.2066236436367035
