power,frequency,amplitude,phase,I,Q
-0.0005,6860000000.0,-6.953503881151804,-2.6912159173227175,-0.40430018305778503,-0.1954871416091919
-0.0005,6860200000.0,-5.300165670787786,-2.712065286324277,-0.49389350414276123,-0.22622747719287872
-0.0005,6860400000.0,-3.2936412161516255,-3.199270705722968,-0.6832743883132935,0.039453696459531784
-0.0005,6860600000.0,-7.4243196845171076,-2.6761891328236755,-0.3801428973674774,-0.1909065544605255
-0.0005,6860800000.0,-6.225068654276197,-2.603134533381809,-0.4192635118961334,-0.2504410445690155
-0.0005,6861000000.0,-8.678279851876527,-3.1085472324012327,-0.368000864982605,-0.012165172025561333
-0.0005,6861200000.0,-4.764289869515331,-2.853728994963792,-0.5540351867675781,-0.16404299437999725
-0.0005,6861400000.0,-7.849936530257125,-3.173449044154332,-0.4048393964767456,0.01290108636021614
-0.0005,6861600000.0,-5.143555936651481,-2.7128283839514666,-0.5030549764633179,-0.2299596220254898
-0.0005,6861800000.0,-5.295308483201611,-2.8165550994500084,-0.5150831937789917,-0.1735776662826538
-0.0005,6862000000.0,-9.631983584568355,-2.525181747551293,-0.26919621229171753,-0.19072672724723816
-0.0005,6862200000.0,-4.878344206177444,-2.5140360844615746,-0.46161580085754395,-0.3348464071750641
-0.0005,6862400000.0,-5.581130344361961,-2.7255920328293017,-0.4810919165611267,-0.21253876388072968
-0.0005,6862600000.0,-5.728795268548303,-3.0020946335033236,-0.5120599865913391,-0.07189833372831345
-0.0005,6862800000.0,-6.341612566297345,-2.8778899990283833,-0.465201199054718,-0.12559974193572998
-0.0005,6863000000.0,-5.839647649754747,-2.8491945831926926,-0.48885664343833923,-0.1471586972475052
-0.0005,6863200000.0,-4.239058035401959,-2.655919382679063,-0.5428459644317627,-0.2865375578403473
-0.0005,6863400000.0,-6.625044318205227,-2.711689679452711,-0.4239499866962433,-0.19438259303569794
-0.0005,6863600000.0,-5.678951572362831,-2.794654033122318,-0.48907265067100525,-0.17683060467243195
-0.0005,6863800000.0,-5.5932675835826995,-2.6797230874973645,-0.4701829254627228,-0.23404738306999207
-0.0005,6864000000.0,-9.608583046249695,-3.235018189594128,-0.3293614387512207,0.03086060844361782
-0.0005,6864200000.0,-5.372447543167354,-3.059614845749395,-0.5369287729263306,-0.044115111231803894
-0.0005,6864400000.0,-5.828750275913198,-2.848503105163865,-0.48936834931373596,-0.14768186211585999
-0.0005,6864600000.0,-4.909939560859383,-2.8858056026197643,-0.5497155785560608,-0.1437591314315796
-0.0005,6864800000.0,-6.389099218048791,-2.7753411138345885,-0.4474467635154724,-0.17162135243415833
-0.0005,6865000000.0,-9.627392468845335,-2.9891236994409294,-0.32625916600227356,-0.05013347789645195
-0.0005,6865200000.0,-7.575316248920167,-2.655740642231976,-0.36967724561691284,-0.1952161192893982
-0.0005,6865400000.0,-4.602990970526433,-3.094041672091482,-0.5879755616188049,-0.027979906648397446
-0.0005,6865600000.0,-6.622550170295937,-2.5858775324843974,-0.39632168412208557,-0.2461143285036087
-0.0005,6865800000.0,-6.3243796053814005,-3.1214144900990375,-0.48271700739860535,-0.009741664864122868
-0.0005,6866000000.0,-4.817996701941772,-2.538272996035224,-0.47286906838417053,-0.3258168697357178
-0.0005,6866200000.0,-7.8484264857075825,-2.5124423683139865,-0.32754701375961304,-0.23839333653450012
-0.0005,6866400000.0,-4.629887517233359,-2.657151694854895,-0.5192986726760864,-0.27329057455062866
-0.0005,6866600000.0,-4.280382986748306,-2.7359987599970186,-0.5613504648208618,-0.24104543030261993
-0.0005,6866800000.0,-8.154265226087924,-2.8792912152899155,-0.37772178649902344,-0.10141352564096451
-0.0005,6867000000.0,-3.7716997825469782,-2.8585816332093557,-0.6219927072525024,-0.1808861494064331
-0.0005,6867200000.0,-7.06840927038172,-2.8174812391473694,-0.42010483145713806,-0.14113782346248627
-0.0005,6867400000.0,-4.873294282334687,-2.496449316736137,-0.45592084527015686,-0.34311196208000183
