power,frequency,amplitude,phase,I,Q
-70.0,6840000000.0,-4.392905788868516,-3.0495654853970624,-0.6005001068115234,-0.05541886016726494
-70.0,6840600000.0,-7.573933990777957,-3.3370929742351567,-0.41015729308128357,0.08122332394123077
-70.0,6841200000.0,-6.877130535650119,-2.7346506083873408,-0.4160493314266205,-0.1793174296617508
-70.0,6841800000.0,-5.69952952450556,-2.890885855476836,-0.5026081800460815,-0.1287154108285904
-70.0,6842400000.0,-6.693091501800356,-2.2176056068678904,-0.2788725197315216,-0.36927860975265503
-70.0,6843000000.0,-3.739496837947392,-3.068619489130032,-0.6484370231628418,-0.047402672469615936
-70.0,6843600000.0,-3.548260859525035,-2.678758913479402,-0.5947144627571106,-0.2967524528503418
-70.0,6844200000.0,-4.021415963440745,-2.812182552741472,-0.5955626368522644,-0.20360255241394043
-70.0,6844800000.0,-4.513927606269813,-2.9856177037657408,-0.5874883532524109,-0.09238386154174805
-70.0,6845400000.0,-3.3491114164091607,-2.894995723681766,-0.6594830751419067,-0.16600514948368073
-70.0,6846000000.0,-5.059074030764478,-2.9479966725692663,-0.548095703125,-0.10745494067668915
-70.0,6846600000.0,-6.027327988039277,-2.670106373632178,-0.44510218501091003,-0.22692960500717163
-70.0,6847200000.0,-6.16798269244057,-2.689771973166818,-0.4422585368156433,-0.21462920308113098
-70.0,6847800000.0,-9.242995619069944,-2.843330997485027,-0.32979145646095276,-0.10138864070177078
-70.0,6848400000.0,-5.389597049922408,-2.600866314303414,-0.46096792817115784,-0.2767731547355652
-70.0,6849000000.0,-5.727051540000881,-2.802166333759397,-0.487679123878479,-0.17219537496566772
-70.0,6849600000.0,-4.95261072228406,-2.5583118807842333,-0.47193172574043274,-0.3114124536514282
-70.0,6850200000.0,-7.879327385299975,-2.573438254477837,-0.3402572274208069,-0.21720924973487854
-70.0,6850800000.0,-5.506041968259739,-2.4525897559613834,-0.4094943106174469,-0.33728456497192383
-70.0,6851400000.0,-16.28983195111385,-2.160465823917271,-0.0852414146065712,-0.12740148603916168
-70.0,6852000000.0,-5.256788683784648,-2.4622753902435632,-0.42475762963294983,-0.3430057168006897
-70.0,6852600000.0,-7.8014890306982725,-2.234111243883209,-0.2507941722869873,-0.3209424912929535
-70.0,6853200000.0,-9.409740121289422,-2.472189617030708,-0.26542115211486816,-0.21002323925495148
-70.0,6853800000.0,-2.7707307920243873,-2.8068167330317837,-0.686527669429779,-0.2388223111629486
-70.0,6854400000.0,-8.449491900970333,-2.6551608606864914,-0.3341803252696991,-0.1767190545797348
-70.0,6855000000.0,-8.14565730435302,-2.0922028509650827,-0.19499967992305756,-0.33946582674980164
-70.0,6855600000.0,-5.787907381294613,-2.3313796119928387,-0.3540305197238922,-0.372051864862442
-70.0,6856200000.0,-8.631466726490686,-2.291951144831249,-0.24441996216773987,-0.2780301570892334
-70.0,6856800000.0,-9.335324270428302,-2.433459402283949,-0.25930196046829224,-0.2220371514558792
-70.0,6857400000.0,-6.457911757597259,-2.5680983363525716,-0.39938244223594666,-0.25796493887901306
-70.0,6858000000.0,-7.406992254648827,-2.107974533884106,-0.21811091899871826,-0.3662034571170807
-70.0,6858600000.0,-6.667576539770676,-2.305153841663462,-0.3110051155090332,-0.3444911539554596
-70.0,6859200000.0,-6.298057150171181,-2.3461149637362153,-0.3389692008495331,-0.34587231278419495
-70.0,6859800000.0,-5.921493250027718,-2.297497118290774,-0.3360159397125244,-0.37797343730926514
-70.0,6860400000.0,-5.668312192635744,-2.8938646696326304,-0.5048003792762756,-0.12767571210861206
-70.0,6861000000.0,-6.482866019245781,-2.5502696544715464,-0.3935876488685608,-0.2642836570739746
-70.0,6861600000.0,-8.23945980278819,-2.3946122168950263,-0.28416556119918823,-0.2631293833255768
-70.0,6862200000.0,-11.008464858206949,-2.5893236108501143,-0.23970545828342438,-0.1477140635251999
-70.0,6862800000.0,-6.4364882375584775,-2.47326335311926,-0.37408190965652466,-0.295352041721344
-70.0,6863400000.0,-5.7130782436288685,-2.3848829149765893,-0.3766513466835022,-0.3556373715400696
-70.0,6864000000.0,-5.976528602273551,-2.5744954988087487,-0.42387720942497253,-0.2699592113494873
-70.0,6864600000.0,-6.218502756649632,-2.7175534328936988,-0.44545137882232666,-0.20108836889266968
-70.0,6865200000.0,-6.761141338165677,-2.8631638019880463,-0.44145557284355164,-0.1261918544769287
-70.0,6865800000.0,-6.377533699736123,-2.3734394924678854,-0.3451199233531952,-0.3334173858165741
-70.0,6866400000.0,-5.483664202323094,-2.9663908153352048,-0.5237414240837097,-0.09271101653575897
-70.0,6867000000.0,-2.8243712716428515,-2.6608346228749493,-0.64051753282547,-0.33407774567604065
