power,frequency,amplitude,phase,I,Q
0.0,7670000000.0,-40.60399168059781,-2.8935695226587077,-0.009042806923389435,-0.002289975294843316
0.0,7670150000.0,-40.565201889513666,-2.905811965091331,-0.009110759943723679,-0.0021888536866754293
0.0,7670300000.0,-40.57151472810851,-2.922395466570569,-0.009139159694314003,-0.0020359910558909178
0.0,7670450000.0,-40.5425018258083,-2.9408008096648435,-0.009205780923366547,-0.001873694476671517
0.0,7670600000.0,-40.544776157944725,-2.9608323300501387,-0.009239044971764088,-0.0016884829383343458
0.0,7670750000.0,-40.56001240364112,-2.9835540525657476,-0.009258766658604145,-0.0014755475567653775
0.0,7670900000.0,-40.57884076313168,-3.0105956924566963,-0.00927515048533678,-0.0012220145436003804
0.0,7671050000.0,-40.61161539273775,-3.0411779356887996,-0.009273122996091843,-0.0009343003621324897
0.0,7671200000.0,-40.625785060161526,-3.0771085924260055,-0.00928554031997919,-0.0005996006657369435
0.0,7671350000.0,-40.676789347283886,-3.118069830829097,-0.009247841313481331,-0.00021757546346634626
0.0,7671500000.0,-40.742229232971205,3.1154914712938955,-0.009177842177450657,0.00023960694670677185
0.0,7671650000.0,-40.83555468301605,3.0572796133709312,-0.009050588123500347,0.0007648959290236235
0.0,7671800000.0,-40.95198789645668,2.9858219141972158,-0.008853401988744736,0.001390364719554782
0.0,7671950000.0,-41.1146186114378,2.8986676762677974,-0.008537419140338898,0.0021157353185117245
0.0,7672100000.0,-41.37464917594579,2.787237139423428,-0.008005903102457523,0.002961962018162012
0.0,7672250000.0,-41.764099761516256,2.6454012713859227,-0.007177654188126326,0.003885748330503702
0.0,7672400000.0,-42.300184541307516,2.461243320786804,-0.00596498092636466,0.004827097058296204
0.0,7672550000.0,-43.11164932065989,2.211876341568294,-0.004179874900728464,0.0056013683788478374
0.0,7672700000.0,-44.2540653297078,1.8704104423862105,-0.0018085968913510442,0.005854703485965729
0.0,7672850000.0,-45.62824410864443,1.3897691940834827,0.0009417959954589605,0.005145558156073093
0.0,7673000000.0,-46.55938444948088,0.748853802159375,0.003442075802013278,0.0031992641743272543
0.0,7673150000.0,-46.1155006696341,0.06479226955126625,0.004935290664434433,0.0003202169027645141
0.0,7673300000.0,-44.77508183269521,-0.4859116118730936,0.005102943629026413,-0.002695109462365508
