power,frequency,amplitude,phase,I,Q
-25.0,7330000000.0,-51.391081601542965,1.556047683131925,3.973582715843804e-05,0.0026940067764371634
-25.0,7330020000.0,-51.26370773261463,1.449577042105566,0.00033061474096029997,0.002714038360863924
-25.0,7330040000.0,-51.109063539361,1.4996157894998523,0.00019794351828750223,0.0027761675883084536
-25.0,7330060000.0,-51.05129833479942,1.4411577435847833,0.00036220313631929457,0.002778276102617383
-25.0,7330080000.0,-50.59367355196593,1.5557454691327675,4.4448916014516726e-05,0.002953025046736002
-25.0,7330100000.0,-51.24379296817832,1.3983738589797041,0.00047016487224027514,0.0026997430250048637
-25.0,7330120000.0,-51.11881378311915,1.4959972370544155,0.00020775456505361944,0.0027723193634301424
-25.0,7330140000.0,-50.661375980975805,1.4369679207288633,0.0003910050436388701,0.0029042260721325874
-25.0,7330160000.0,-51.174472292028,1.4131469564868755,0.00043367879698053,0.002728079678490758
-25.0,7330180000.0,-50.53080996674994,1.4411450041838736,0.0003846086619887501,0.0029498443473130465
-25.0,7330200000.0,-50.66729394689417,1.4411403723935365,0.0003786258748732507,0.002903853077441454
-25.0,7330220000.0,-50.02910961957075,1.4950789979779346,0.00023841015354264528,0.0031426672358065844
-25.0,7330240000.0,-50.58522950258517,1.5234873553835013,0.00013980413496028632,0.0029529244638979435
-25.0,7330260000.0,-50.53123011651891,1.3772829235232888,0.0005720521439798176,0.002919144695624709
-25.0,7330280000.0,-50.130973750856,1.4040579622649234,0.0005169786745682359,0.003071751445531845
-25.0,7330300000.0,-50.68957148540848,1.4221096560146709,0.00043270515743643045,0.0028887037187814713
-25.0,7330320000.0,-50.93534041784805,1.3760400851889576,0.0005495097720995545,0.0027857618406414986
-25.0,7330340000.0,-50.78906320761598,1.423686980289864,0.00042327199480496347,0.0028564753010869026
-25.0,7330360000.0,-51.98526910055237,1.3917682087468182,0.0004480591742321849,0.002475935034453869
-25.0,7330380000.0,-51.136660268268386,1.4309427038626665,0.00038674441748298705,0.0027472986839711666
-25.0,7330400000.0,-49.99580503761429,1.3653969871326204,0.0006452837842516601,0.003097300883382559
-25.0,7330420000.0,-50.87963038875732,1.4174552211601068,0.0004364894703030586,0.0028241805266588926
-25.0,7330440000.0,-51.10129629282816,1.3160371169542675,0.0007020322955213487,0.0026957939844578505
-25.0,7330460000.0,-50.80689208773072,1.2591589767640716,0.0008835932239890099,0.0027429384645074606
-25.0,7330480000.0,-51.11764250560148,1.3392875104920052,0.0006379681872203946,0.002706288592889905
-25.0,7330500000.0,-50.82753919910624,1.231671458521848,0.0009563704370521009,0.0027111652307212353
-25.0,7330520000.0,-50.32419723674507,1.2000598740512014,0.0011037248186767101,0.0028394509572535753
-25.0,7330540000.0,-50.12219731495436,1.233313759949945,0.0010324427857995033,0.0029422123916447163
-25.0,7330560000.0,-50.309436589409586,1.1403702123294313,0.001273306435905397,0.0027732611633837223
-25.0,7330580000.0,-49.91920806445492,1.15285186769662,0.0012955081183463335,0.0029170927591621876
-25.0,7330600000.0,-50.40534598685643,1.0860311573253516,0.001406433410011232,0.002670362126082182
-25.0,7330620000.0,-50.00268271605668,1.0938879308046974,0.0014511470217257738,0.0028085578233003616
-25.0,7330640000.0,-50.12184592880022,1.0578620090020705,0.001530226320028305,0.002716936869546771
-25.0,7330660000.0,-50.07370304535415,1.0429224008944413,0.0015793737256899476,0.0027087456546723843
-25.0,7330680000.0,-49.86040469007884,0.9131311971968441,0.001964324852451682,0.002543241949751973
-25.0,7330700000.0,-49.94068082801519,0.9815251282591483,0.0017694958951324224,0.0026469621807336807
-25.0,7330720000.0,-50.25308804771718,0.9152250567812625,0.0018724026158452034,0.0024347498547285795
-25.0,7330740000.0,-50.42154811885085,0.8394056711061648,0.00201204395852983,0.002242018934339285
-25.0,7330760000.0,-49.90535650457205,0.8088649550335179,0.002206900157034397,0.0023129868786782026
-25.0,7330780000.0,-50.58923256762141,0.6370864440287463,0.002375219948589802,0.0017577219987288117
-25.0,7330800000.0,-50.5968107408992,0.6488333413959267,0.0023523555137217045,0.001783944433555007
-25.0,7330820000.0,-50.60544611849031,0.5418594163228638,0.00252686720341444,0.0015210729325190187
-25.0,7330840000.0,-51.328532477595104,0.34661760775687167,0.0025523763615638018,0.0009219186613336205
-25.0,7330860000.0,-51.05480564497827,0.3282970588510217,0.0026510804891586304,0.0009030196233652532
-25.0,7330880000.0,-50.84719250318358,0.22212920907422745,0.002797929337248206,0.0006319296080619097
-25.0,7330900000.0,-50.67629336615387,0.17755745300209255,0.002879407489672303,0.0005167016643099487
-25.0,7330920000.0,-51.44221933218479,0.013508278328924601,0.0026782394852489233,3.618060509325005e-05
-25.0,7330940000.0,-51.77245327298779,-0.15430066241537688,0.0025479253381490707,-0.000396296672988683
-25.0,7330960000.0,-52.006954194775886,-0.252116466817923,0.002430530497804284,-0.0006260988302528858
-25.0,7330980000.0,-52.7647304169163,-0.4915954776701315,0.002027802402153611,-0.0010857650777325034
-25.0,7331000000.0,-53.13534510103506,-0.5031469084932464,0.001930951257236302,-0.0010627871379256248
-25.0,7331020000.0,-53.56997449380965,-0.8111448415681894,0.0014438154175877571,-0.001520144403912127
-25.0,7331040000.0,-54.236868870546644,-0.8659624298374639,0.00125796755310148,-0.0014789430424571037
-25.0,7331060000.0,-54.51275837786003,-1.0933962364338492,0.0008642127504572272,-0.0016705873422324657
-25.0,7331080000.0,-54.87041520448634,-1.1421287751805154,0.0007502685184590518,-0.001641692011617124
-25.0,7331100000.0,-55.5622669407341,-1.4489702464800296,0.00020255926938261837,-0.0016544583486393094
-25.0,7331120000.0,-56.69119093491513,-1.5136026355030794,8.36665349197574e-05,-0.0014612675877287984
-25.0,7331140000.0,-56.08329954782953,-1.5714055088350576,-9.562734248902416e-07,-0.0015697660855948925
-25.0,7331160000.0,-56.268175190711915,-1.916745274518067,-0.0005210814997553825,-0.001445663976483047
-25.0,7331180000.0,-56.527921977367086,-1.8768400806522667,-0.0004493519081734121,-0.0014221310848370194
-25.0,7331200000.0,-56.44581858993138,-1.9898057152372362,-0.000612561241723597,-0.0013753524981439114
-25.0,7331220000.0,-56.96791065028805,-2.111904123049761,-0.0007302710437215865,-0.0012152217095717788
-25.0,7331240000.0,-57.13747921128352,-2.2903767721999806,-0.0009163408540189266,-0.001045662211254239
-25.0,7331260000.0,-56.85174929578786,-2.3734182409451554,-0.0010333568789064884,-0.000998359639197588
-25.0,7331280000.0,-56.599761640239095,-2.464294650359435,-0.00115265476051718,-0.0009269674774259329
-25.0,7331300000.0,-56.57725453876179,-2.6463995825001696,-0.0013048459077253938,-0.0007047175895422697
-25.0,7331320000.0,-56.129914956173046,-2.6071480693128035,-0.0013436346780508757,-0.000795301457401365
-25.0,7331340000.0,-55.91749598796512,-2.4026941024599666,-0.0011827514972537756,-0.00107757153455168
