power,frequency,amplitude,phase,I,Q
-0.0005,6875000000.0,-5.0037315240572,-2.203340232822507,-0.3323124945163727,-0.45334818959236145
-0.000499,6875000000.0,-9.438044211592029,-2.6018708415414804,-0.2894076406955719,-0.1733700931072235
-0.000498,6875000000.0,-6.964595981903102,-2.543178980687828,-0.3705708980560303,-0.2526591420173645
-0.000497,6875000000.0,-6.643516246071028,-2.5121020725996575,-0.37619373202323914,-0.27399498224258423
-0.000496,6875000000.0,-6.4307476237181085,-2.5147850633075897,-0.38627469539642334,-0.27975425124168396
-0.000495,6875000000.0,-6.261794090125918,-2.477686098321772,-0.3830108344554901,-0.29966139793395996
-0.000494,6875000000.0,-6.205698713875525,-2.462340340885507,-0.3808188736438751,-0.30748286843299866
-0.0004930000000000001,6875000000.0,-6.05456047718995,-2.476613144934738,-0.3919293284416199,-0.3073175847530365
-0.000492,6875000000.0,-6.050400819698743,-2.450276028843225,-0.3838842809200287,-0.31768420338630676
-0.000491,6875000000.0,-6.055220245552858,-2.4534656593158135,-0.3846821188926697,-0.31628260016441345
-0.00049,6875000000.0,-5.907549693943089,-2.4364629728790757,-0.3857519328594208,-0.3283117115497589
-0.000489,6875000000.0,-5.918984820525885,-2.430054968811004,-0.38313546776771545,-0.3303416669368744
-0.000488,6875000000.0,-5.726004867290907,-2.4200067925868525,-0.38832947611808777,-0.34168240427970886
-0.000487,6875000000.0,-5.769247541529031,-2.420298343967052,-0.3865000903606415,-0.33987289667129517
-0.000486,6875000000.0,-5.838420103864019,-2.414867528308676,-0.38159751892089844,-0.33925434947013855
-0.00048499999999999997,6875000000.0,-5.674387823343449,-2.398020575659283,-0.3829931616783142,-0.3522239625453949
-0.000484,6875000000.0,-5.62545990622354,-2.398642886509298,-0.38537701964378357,-0.3539738953113556
-0.000483,6875000000.0,-5.7184819407630085,-2.3955711827494293,-0.3801943063735962,-0.35137271881103516
-0.000482,6875000000.0,-5.6842033490881825,-2.3941035823145205,-0.3811795711517334,-0.35332193970680237
-0.000481,6875000000.0,-5.654425356387983,-2.3885527519265795,-0.3805147707462311,-0.35665297508239746
-0.00048,6875000000.0,-5.61247716891716,-2.3964512048355044,-0.38517558574676514,-0.3553484082221985
-0.000479,6875000000.0,-5.5647431355822,-2.382886868174658,-0.3824160695075989,-0.3625270426273346
-0.00047799999999999996,6875000000.0,-5.6255713492720405,-2.3740565029888603,-0.37655365467071533,-0.36333632469177246
-0.000477,6875000000.0,-5.570834346413082,-2.3860292061145056,-0.38328447937965393,-0.36107027530670166
-0.00047599999999999997,6875000000.0,-5.503894171190237,-2.3774668320922268,-0.3831201195716858,-0.36715754866600037
-0.000475,6875000000.0,-5.535135733946226,-2.365451020172038,-0.3773212730884552,-0.3703997731208801
-0.000474,6875000000.0,-5.607929665984353,-2.367428223112062,-0.3748977780342102,-0.366567999124527
-0.000473,6875000000.0,-5.50468941383735,-2.3601779337944726,-0.3766809403896332,-0.3736918568611145
-0.000472,6875000000.0,-5.524667268013284,-2.3604061309580686,-0.37590062618255615,-0.3727475702762604
-0.000471,6875000000.0,-5.4597063616456865,-2.3645630245413076,-0.3802803158760071,-0.3739682137966156
-0.00047,6875000000.0,-5.5606984118861735,-2.361499491982777,-0.37475016713142395,-0.37079501152038574
-0.00046899999999999996,6875000000.0,-5.45860256898489,-2.3534160156929738,-0.3761359453201294,-0.378231942653656
-0.000468,6875000000.0,-5.332381801025965,-2.3581837448780987,-0.3834671080112457,-0.3819445073604584
-0.00046699999999999997,6875000000.0,-5.468160919687369,-2.351202783601694,-0.3748851418495178,-0.378646582365036
-0.000466,6875000000.0,-5.439860680955092,-2.337085276025391,-0.37070828676223755,-0.38515397906303406
-0.00046499999999999997,6875000000.0,-5.3558801238419695,-2.3609723188561857,-0.3834918141365051,-0.37984469532966614
-0.000464,6875000000.0,-5.467941443518141,-2.343632860795035,-0.372017502784729,-0.38148319721221924
-0.00046300000000000003,6875000000.0,-5.448511021234388,-2.350557276637847,-0.37548914551734924,-0.37974661588668823
-0.000462,6875000000.0,-5.4843398555519505,-2.335945254651611,-0.3683777153491974,-0.3836069107055664
-0.00046100000000000004,6875000000.0,-5.493135378409867,-2.352536032665635,-0.3743118345737457,-0.3770607113838196
-0.00046,6875000000.0,-5.458027620613416,-2.34016455320668,-0.371115505695343,-0.383208304643631
-0.00045900000000000004,6875000000.0,-5.37403952993635,-2.3524058449825085,-0.37942975759506226,-0.3823157548904419
-0.000458,6875000000.0,-5.496459611769976,-2.3462966206234124,-0.37180960178375244,-0.3792436718940735
-0.00045700000000000005,6875000000.0,-5.356911345289431,-2.3555340988694766,-0.38137519359588623,-0.3818792402744293
-0.000456,6875000000.0,-5.461552339546863,-2.340480883321086,-0.37108609080314636,-0.38293546438217163
-0.000455,6875000000.0,-5.48368700433362,-2.353229885289835,-0.3749810457229614,-0.3772110044956207
-0.00045400000000000003,6875000000.0,-5.387530568823103,-2.3456455785351404,-0.3762516975402832,-0.3842747211456299
-0.000453,6875000000.0,-5.418611919530284,-2.3467319940609523,-0.37532350420951843,-0.38249456882476807
-0.00045200000000000004,6875000000.0,-5.441955833564521,-2.355294921363832,-0.3775688707828522,-0.37824878096580505
-0.000451,6875000000.0,-5.452711978041388,-2.3393768878853853,-0.37104055285453796,-0.3837352693080902
-0.00045000000000000004,6875000000.0,-5.4243970004158335,-2.34536419521765,-0.3745504319667816,-0.38275256752967834
-0.000449,6875000000.0,-5.504828440970785,-2.337098066933845,-0.3679507374763489,-0.3822791874408722
-0.000448,6875000000.0,-5.410193244307844,-2.332968228723728,-0.3703823685646057,-0.38799992203712463
-0.000447,6875000000.0,-5.307460646452204,-2.3323967388041815,-0.37456464767456055,-0.39283037185668945
-0.000446,6875000000.0,-5.446777432941229,-2.336809892820875,-0.37030720710754395,-0.38494938611984253
-0.00044500000000000003,6875000000.0,-5.375094890531788,-2.3390704101295055,-0.3742523491382599,-0.3872944116592407
-0.000444,6875000000.0,-5.4776083920802865,-2.326113449593091,-0.364871084690094,-0.3875103294849396
-0.00044300000000000003,6875000000.0,-5.371578536853284,-2.332136815739671,-0.371708482503891,-0.39003786444664
-0.000442,6875000000.0,-5.537856878128126,-2.343623956363644,-0.3690316677093506,-0.3784281313419342
-0.000441,6875000000.0,-5.379967935410498,-2.3529339810450436,-0.37937259674072266,-0.3818545937538147
-0.00044,6875000000.0,-5.373333529002323,-2.3396482886082803,-0.37455204129219055,-0.38715657591819763
-0.000439,6875000000.0,-5.371498191627041,-2.3408575263100126,-0.37509918212890625,-0.386785089969635
-0.000438,6875000000.0,-5.46281278911033,-2.3338932283812053,-0.3685019314289093,-0.38531580567359924
-0.000437,6875000000.0,-5.417069106301194,-2.3351015919871623,-0.3709155321121216,-0.38690248131752014
-0.000436,6875000000.0,-5.4028219689288814,-2.3433574439032876,-0.37471118569374084,-0.38445720076560974
-0.000435,6875000000.0,-5.424871921219444,-2.330568817852892,-0.3688265085220337,-0.3882308602333069
-0.00043400000000000003,6875000000.0,-5.326484268013648,-2.3294119876268535,-0.372573584318161,-0.39308473467826843
-0.000433,6875000000.0,-5.319250060114457,-2.3286739949707,-0.37259358167648315,-0.39368733763694763
-0.000432,6875000000.0,-5.39298826565606,-2.3308135381179254,-0.3702782094478607,-0.3895679712295532
-0.000431,6875000000.0,-5.40349588272429,-2.3323743116121936,-0.3704373836517334,-0.388519287109375
-0.00043,6875000000.0,-5.413462663271646,-2.3292976784888975,-0.3688168525695801,-0.3892102837562561
-0.000429,6875000000.0,-5.446739940596191,-2.3350118054179534,-0.3696160316467285,-0.385616272687912
-0.000428,6875000000.0,-5.424831937580898,-2.334459669436877,-0.37033596634864807,-0.38679465651512146
-0.000427,6875000000.0,-5.328748845607424,-2.3373949960015197,-0.37560173869132996,-0.3899962902069092
-0.000426,6875000000.0,-5.215998207860526,-2.32778664935105,-0.3766954839229584,-0.3987295627593994
-0.000425,6875000000.0,-5.420474443091802,-2.330172668597154,-0.3688593804836273,-0.38857361674308777
-0.000424,6875000000.0,-5.284543646451894,-2.3295606675596137,-0.3744356632232666,-0.39493170380592346
-0.000423,6875000000.0,-5.4319012293917766,-2.3354638851323095,-0.3704226016998291,-0.3861081898212433
-0.000422,6875000000.0,-5.420193106026218,-2.3360378939316426,-0.3711441159248352,-0.3864160180091858
-0.000421,6875000000.0,-5.379566336307021,-2.3436438662271932,-0.3758261799812317,-0.3853802978992462
-0.00042,6875000000.0,-5.431146615265435,-2.3300548670795194,-0.3683607280254364,-0.38813987374305725
-0.000419,6875000000.0,-5.426465637591114,-2.3411507312426565,-0.3728455901145935,-0.38423579931259155
-0.00041799999999999997,6875000000.0,-5.474032694026435,-2.3329990323357164,-0.36768198013305664,-0.3851473331451416
-0.000417,6875000000.0,-5.367176596678257,-2.334271198752465,-0.37272897362709045,-0.3894409239292145
-0.000416,6875000000.0,-5.394105497150168,-2.3267493961019454,-0.36864447593688965,-0.3910193145275116
-0.000415,6875000000.0,-5.310144224967886,-2.328254645872351,-0.37281909584999084,-0.3942566514015198
-0.000414,6875000000.0,-5.45809220627714,-2.342719823527295,-0.37209072709083557,-0.3822559118270874
-0.000413,6875000000.0,-5.517119768811134,-2.323991602315669,-0.3623957633972168,-0.3865213990211487
-0.00041200000000000004,6875000000.0,-5.370721641617038,-2.328940350504862,-0.37049639225006104,-0.39126262068748474
-0.000411,6875000000.0,-5.446814355226074,-2.3313022886687325,-0.36817988753318787,-0.38698139786720276
-0.00041000000000000005,6875000000.0,-5.388033074633684,-2.341896132795955,-0.3747865557670593,-0.38566043972969055
-0.000409,6875000000.0,-5.338830792415646,-2.3389560656981834,-0.37577366828918457,-0.3889577388763428
-0.00040800000000000005,6875000000.0,-5.404031310560109,-2.334360522238426,-0.37118545174598694,-0.38775885105133057
-0.000407,6875000000.0,-5.424150236046841,-2.3268640532744373,-0.3674162030220032,-0.38962697982788086
-0.00040600000000000006,6875000000.0,-5.347333279696168,-2.3335066814633043,-0.37328293919563293,-0.39061713218688965
-0.00040500000000000003,6875000000.0,-5.346324201621959,-2.32304661006709,-0.3692196011543274,-0.3945460915565491
-0.000404,6875000000.0,-5.3291278656427865,-2.3207096270566816,-0.36902642250061035,-0.39619147777557373
-0.00040300000000000004,6875000000.0,-5.443049254479668,-2.3392042986173056,-0.371387243270874,-0.3842265009880066
-0.000402,6875000000.0,-5.331887337238936,-2.3405155768719133,-0.37668079137802124,-0.3886818289756775
-0.00040100000000000004,6875000000.0,-5.433418429066565,-2.3383249769377654,-0.371460884809494,-0.3849795460700989
-0.0004,6875000000.0,-5.3116590363435465,-2.3354682650725618,-0.3755878806114197,-0.3914887607097626
