power,frequency,amplitude,phase,I,Q
0.002,7204000000.0,0.8605307686117427,0.24260008450206894,1.0718129873275757,0.26524612307548523
0.002,7204060000.0,0.8761181621484615,0.2537802443244542,1.0707002878189087,0.2777102589607239
0.002,7204120000.0,0.8838144006336031,0.267959898732216,1.0676004886627197,0.29312360286712646
0.002,7204180000.0,0.8701286792153589,0.2809102193909857,1.0620403289794922,0.30644118785858154
0.002,7204240000.0,0.8558735440812864,0.2941688157741834,1.0561493635177612,0.31996944546699524
0.002,7204300000.0,0.8640126209265774,0.3025646898193411,1.0544133186340332,0.32913362979888916
0.002,7204360000.0,0.8287025069488364,0.3138020804686584,1.0463857650756836,0.33957818150520325
0.002,7204420000.0,0.8520437947740568,0.32942917762321383,1.043752670288086,0.3568456768989563
0.002,7204480000.0,0.8503291781880818,0.3411137055405776,1.0393067598342896,0.3689439594745636
0.002,7204540000.0,0.8619555856047965,0.351459393368559,1.0368211269378662,0.38018491864204407
0.002,7204600000.0,0.8489191711171707,0.3590565202548071,1.032352328300476,0.38746875524520874
0.002,7204660000.0,0.8354961827255942,0.37056203016813205,1.0262389183044434,0.3987039625644684
0.002,7204720000.0,0.7958626791319177,0.37596878560028624,1.0194060802459717,0.40240636467933655
0.002,7204780000.0,0.764289932729953,0.3841316978207145,1.0124006271362305,0.4092239737510681
0.002,7204840000.0,0.7458130491739355,0.3889165043773917,1.0082838535308838,0.4131835401058197
0.002,7204900000.0,0.7296081953331636,0.392018973944672,1.0051201581954956,0.41553375124931335
0.002,7204960000.0,0.7046209684158218,0.40471272339683745,0.9968926906585693,0.42702844738960266
0.002,7205020000.0,0.6947580014644151,0.41489511195329554,0.9913665652275085,0.4366607666015625
0.002,7205080000.0,0.6946657490055065,0.4305447613262562,0.9844014048576355,0.4521164000034332
0.002,7205140000.0,0.6534881821087807,0.4269085372044979,0.9813753962516785,0.4464125633239746
0.002,7205200000.0,0.6251362420267548,0.43313395607752764,0.9753882884979248,0.4510386884212494
0.002,7205260000.0,0.620351195897696,0.444346313924698,0.9697355031967163,0.46169209480285645
0.002,7205320000.0,0.47384910897253246,0.4161961320362793,0.9659163355827332,0.42695221304893494
0.002,7205380000.0,0.4619845088516312,0.43240724268035863,0.9575594663619995,0.44194990396499634
0.002,7205440000.0,0.4014326587258992,0.4348988209320584,0.949810802936554,0.4412475526332855
0.002,7205500000.0,0.3790932888810098,0.4412032445234322,0.9445776343345642,0.44607800245285034
0.002,7205560000.0,0.3250078025830904,0.44276728070280774,0.9380196928977966,0.44477662444114685
