power,frequency,amplitude,phase,I,Q
-70.0,7275000000.0,-1.7836607227249976,0.6338105957654335,0.6561930775642395,0.4822804927825928
-70.0,7275100000.0,-2.3519061965291983,0.5589865805525782,0.6466875672340393,0.40452808141708374
-70.0,7275200000.0,-1.9441341872891884,0.6412628395315684,0.6406349539756775,0.4782394766807556
-70.0,7275300000.0,-1.946233429593093,0.49564436114222954,0.7030794024467468,0.3801271319389343
-70.0,7275400000.0,-2.810168180461352,0.6047072269237245,0.5952734351158142,0.41137537360191345
-70.0,7275500000.0,-1.8355264989421973,0.4963493569790069,0.7118263244628906,0.3855050206184387
-70.0,7275600000.0,-1.9926413748783283,0.5335940719646695,0.6844840049743652,0.40436244010925293
-70.0,7275700000.0,-2.5308788996833425,0.5722196274785114,0.6281996369361877,0.4046262502670288
-70.0,7275800000.0,-1.9203463218355756,0.49458962602573775,0.7055796980857849,0.38051775097846985
-70.0,7275900000.0,-2.3182655028706067,0.5643234933906711,0.6470205187797546,0.4095567762851715
-70.0,7276000000.0,-2.379242060588511,0.55573227630556,0.6459644436836243,0.4011569321155548
-70.0,7276100000.0,-2.7429606111942695,0.4938688660600693,0.6420724391937256,0.34567126631736755
-70.0,7276200000.0,-3.0705354306980324,0.4723876194466123,0.6253160238265991,0.3195197582244873
-70.0,7276300000.0,-2.2370259264387307,0.42645337056164623,0.7037190794944763,0.3197244703769684
-70.0,7276400000.0,-2.5397836472566873,0.49136822738739167,0.658151388168335,0.3522076904773712
-70.0,7276500000.0,-2.0806946901555174,0.5218188370759378,0.6822464466094971,0.39227768778800964
-70.0,7276600000.0,-2.182761387045032,0.4348909501389719,0.7053894996643066,0.32769155502319336
-70.0,7276700000.0,-2.324739713673844,0.4666378922287687,0.6833705306053162,0.34424343705177307
-70.0,7276800000.0,-2.2637538564371025,0.3350537918842082,0.7277209758758545,0.2533789277076721
-70.0,7276900000.0,-1.5927578169927563,0.4067202809643287,0.7645483613014221,0.32931962609291077
-70.0,7277000000.0,-1.9850808200505308,0.4115378092628189,0.7292587161064148,0.3182927966117859
-70.0,7277100000.0,-1.6578304619867574,0.33638277784639825,0.7799372673034668,0.27272239327430725
-70.0,7277200000.0,-2.9500585260283376,0.40174540425868077,0.6553362607955933,0.278421014547348
-70.0,7277300000.0,-1.632096925305098,0.38764279207715735,0.7672088146209717,0.3132529556751251
-70.0,7277400000.0,-2.2243538299297074,0.3435698512235161,0.72883540391922,0.2607470750808716
-70.0,7277500000.0,-2.2394705290591785,0.3137072124493607,0.7350155711174011,0.23845374584197998
-70.0,7277600000.0,-2.954681441395902,0.3219689899560642,0.6750804781913757,0.2251906841993332
-70.0,7277700000.0,-1.5919737504303537,0.34497838729007474,0.7834821939468384,0.2815428674221039
-70.0,7277800000.0,-1.0101845010777353,0.27412021550653237,0.8569695353507996,0.24097900092601776
-70.0,7277900000.0,-1.701597121145353,0.3165245690110419,0.781252384185791,0.25588884949684143
-70.0,7278000000.0,-0.7971926890775171,0.2888696006798264,0.8745056390762329,0.2598874568939209
-70.0,7278100000.0,-1.3513588426019996,0.2850969387618807,0.8213681578636169,0.2407272905111313
-70.0,7278200000.0,-0.8328612649863383,0.2215999942596547,0.8863497972488403,0.19969463348388672
-70.0,7278300000.0,-1.2960404310804774,0.25097491563393004,0.8343997597694397,0.21392396092414856
-70.0,7278400000.0,-0.20392118207779286,0.2572134466855182,0.9446620941162109,0.24848391115665436
-70.0,7278500000.0,-0.16636534901320707,0.15562637228605664,0.9691726565361023,0.152058407664299
-70.0,7278600000.0,-0.31989917889791836,0.11311473582305431,0.9576806426048279,0.10879218578338623
-70.0,7278700000.0,-0.7151809642122784,0.0835264052173132,0.9177496433258057,0.07683509588241577
-70.0,7278800000.0,-0.05135190380856348,0.01309487735682121,0.9940201044082642,0.013017315417528152
-70.0,7278900000.0,0.31803142066318846,-0.03424888852173431,1.0366849899291992,-0.03551919758319855
-70.0,7279000000.0,1.0694295990656675,-0.15574201399174234,1.117334008216858,-0.1754365861415863
-70.0,7279100000.0,1.4911232254249687,-0.19870495604305755,1.1639260053634644,-0.234370619058609
-70.0,7279200000.0,1.9408889852815812,-0.26717621652027534,1.2060235738754272,-0.3301132917404175
-70.0,7279300000.0,2.0479705876173964,-0.4300063644532967,1.1506540775299072,-0.5277230143547058
-70.0,7279400000.0,2.0375686611608077,-0.6115105925420228,1.0352531671524048,-0.725888192653656
-70.0,7279500000.0,1.8291676753834565,-0.7495507775583911,0.9035797715187073,-0.8410138487815857
-70.0,7279600000.0,1.3667048360443061,-0.9444046575712556,0.686119556427002,-0.9481993317604065
-70.0,7279700000.0,0.7063997149264587,-1.1483975802348647,0.44468286633491516,-0.9893873333930969
-70.0,7279800000.0,-1.0989499539967291,-1.3703246685575479,0.17546585202217102,-0.8635082840919495
-70.0,7279900000.0,-2.3407453880308777,-1.5778330401017227,-0.005374387837946415,-0.7637513279914856
-70.0,7280000000.0,-3.334502664965515,-1.8008543083125625,-0.15533682703971863,-0.6632528901100159
-70.0,7280100000.0,-5.428465823894388,-2.0071886467843387,-0.2262459695339203,-0.4851100444793701
-70.0,7280200000.0,-8.822124648668442,-1.9680781483919974,-0.14012235403060913,-0.33394840359687805
-70.0,7280300000.0,-9.812246318103567,-2.412986281712628,-0.24109405279159546,-0.2151549607515335
-70.0,7280400000.0,-12.783724380952503,-2.766163302554545,-0.21353067457675934,-0.08415725082159042
-70.0,7280500000.0,-16.62502757151751,-2.014198228819938,-0.0632733702659607,-0.1332230567932129
-70.0,7280600000.0,-17.882782593312974,-3.2609238918829235,-0.12669554352760315,0.015190910547971725
-70.0,7280700000.0,-27.265830349669173,-4.084643659136966,-0.02544393762946129,0.035062823444604874
-70.0,7280800000.0,-17.682178661077792,-4.459997487968405,-0.032609570771455765,0.1264471560716629
-70.0,7280900000.0,-14.306187060668766,-4.400325846208609,-0.059137266129255295,0.1833123415708542
-70.0,7281000000.0,-11.927863771777655,-4.909109729017558,0.049505360424518585,0.2483983188867569
-70.0,7281100000.0,-15.264115703134223,-5.3643961753955836,0.10467131435871124,0.13711625337600708
-70.0,7281200000.0,-14.17907537578005,-4.955337585033064,0.047019705176353455,0.18971480429172516
-70.0,7281300000.0,-14.262714044924682,-5.40325836140958,0.12335170060396194,0.1491919308900833
-70.0,7281400000.0,-13.057101602776681,-5.348089246652303,0.13205111026763916,0.1789596974849701
-70.0,7281500000.0,-11.413520407511024,-4.9926995618171865,0.07434660196304321,0.2582460045814514
-70.0,7281600000.0,-11.81661151528455,-5.260904078116007,0.133769690990448,0.218912735581398
-70.0,7281700000.0,-9.187203093887526,-5.299680457964988,0.1924130618572235,0.28906476497650146
-70.0,7281800000.0,-11.263894841386158,-5.367188558895012,0.16650326550006866,0.21685604751110077
-70.0,7281900000.0,-10.127637497596883,-5.518479661731309,0.22485695779323578,0.21573862433433533
-70.0,7282000000.0,-10.120014292170236,-5.513965393031361,0.22407734394073486,0.21694180369377136
-70.0,7282100000.0,-9.687130913940132,-5.474128876200438,0.2262594848871231,0.23722681403160095
-70.0,7282200000.0,-9.005789425721675,-5.549292969821799,0.2632993161678314,0.23748326301574707
