power,frequency,amplitude,phase,I,Q
0.004,7204000000.0,0.7893059581075078,0.9535903237851749,0.6338157057762146,0.8930763006210327
0.004,7204160000.0,0.8468625754202873,0.9901391685872826,0.6047528982162476,0.9217275381088257
0.004,7204320000.0,0.8067179540912938,1.0216070379779911,0.5727999806404114,0.9359624981880188
0.004,7204480000.0,0.7246924367249831,1.0759830417911438,0.5161868333816528,0.9566335678100586
0.004,7204640000.0,0.9814205297323477,1.0931697388639123,0.5146591663360596,0.9943224191665649
0.004,7204800000.0,0.7820841595079048,1.140884176766353,0.456060528755188,0.9946475625038147
0.004,7204960000.0,0.7829373716333834,1.1552523959451797,0.44176602363586426,1.0011957883834839
0.004,7205120000.0,0.8583530176784926,1.2003546158254577,0.39963072538375854,1.0289911031723022
0.004,7205280000.0,0.8072368030707726,1.2352837885426626,0.3613198399543762,1.036203384399414
0.004,7205440000.0,0.8159348140936779,1.2727589461197184,0.3225662112236023,1.050064206123352
0.004,7205600000.0,0.9175529544788873,1.295904483918203,0.3016866147518158,1.0696898698806763
0.004,7205760000.0,0.8509762237507943,1.3457797627579193,0.24608899652957916,1.0751277208328247
0.004,7205920000.0,0.6930995399415032,1.3741274291837233,0.21163494884967804,1.0621877908706665
0.004,7206080000.0,0.8193005079517026,1.3949149698620358,0.19228412210941315,1.0819640159606934
0.004,7206240000.0,0.7062330136253732,1.4304369009889444,0.1517491638660431,1.074037790298462
0.004,7206400000.0,0.7610409353825588,1.4446884639037785,0.13729113340377808,1.0829029083251953
0.004,7206560000.0,0.7512803664013817,1.4860571833999108,0.09228438138961792,1.0864328145980835
0.004,7206720000.0,0.7650851021125882,1.4974303869951653,0.08004958182573318,1.0891417264938354
0.004,7206880000.0,0.8362171945666308,1.5648000535738251,0.006602215114980936,1.1010398864746094
0.004,7207040000.0,0.7385114575720861,1.5664721971845905,0.004707853309810162,1.0887333154678345
0.004,7207200000.0,0.7124361088693003,1.6008019611496709,-0.03256562724709511,1.0849913358688354
0.004,7207360000.0,0.7259859851632761,1.6269144336297459,-0.06097816303372383,1.0854631662368774
0.004,7207520000.0,0.7823772113214705,1.646659921138406,-0.08293457329273224,1.0911084413528442
0.004,7207680000.0,0.718167558831903,1.6671378849567842,-0.10448405146598816,1.0811594724655151
0.004,7207840000.0,0.7493303852017466,1.7016847400432351,-0.14227446913719177,1.0807760953903198
0.004,7208000000.0,0.6497240631089164,1.72163671028555,-0.1619405746459961,1.065434217453003
0.004,7208160000.0,0.7164638727059186,1.7418223101758927,-0.1848272681236267,1.0701396465301514
0.004,7208320000.0,0.7770661895250293,1.7388395929857532,-0.18290624022483826,1.078182578086853
0.004,7208480000.0,0.7940066771081161,1.7283257804855294,-0.17189545929431915,1.0821545124053955
0.004,7208640000.0,0.6782047161416606,1.7557339791315187,-0.1988186538219452,1.06277334690094
0.004,7208800000.0,0.5967257319126382,1.752228924656312,-0.19327083230018616,1.0535343885421753
0.004,7208960000.0,0.7845460007766164,1.7147227718521783,-0.15698836743831635,1.08321213722229
0.004,7209120000.0,0.7886413554662615,1.7158502860662237,-0.15828421711921692,1.083545207977295
0.004,7209280000.0,0.8114790371659264,1.6924604234806224,-0.13324914872646332,1.0898123979568481
0.004,7209440000.0,0.70132302025285,1.650596153824462,-0.08641856908798218,1.0806421041488647
0.004,7209600000.0,0.6951294706122003,1.5877424090853045,-0.018357139080762863,1.0831637382507324
0.004,7209760000.0,0.6071172386485684,1.5283396300842065,0.045516785234212875,1.071431279182434
0.004,7209920000.0,0.5941668054148754,1.4066153547076155,0.17501622438430786,1.0564004182815552
0.004,7210080000.0,0.5417615104739347,1.2875484959270551,0.29746225476264954,1.0219471454620361
0.004,7210240000.0,0.10212757133251003,1.100255591726608,0.45873042941093445,0.9018651843070984
0.004,7210400000.0,-0.3787345063683664,0.7923496742952619,0.6722149848937988,0.6816263794898987
0.004,7210560000.0,-1.348231691327337,0.34092506287243907,0.8069465756416321,0.2862869203090668
0.004,7210720000.0,-1.2163141674670521,-0.23784392756139944,0.8448560833930969,-0.20482075214385986
0.004,7210880000.0,-0.8359985962550066,-0.7275398403819261,0.6782843470573425,-0.6040100455284119
0.004,7211040000.0,-0.3719683324450485,-1.1355288012975295,0.4039771258831024,-0.8687456250190735
0.004,7211200000.0,0.2595215835256124,-1.402295849522397,0.17279061675071716,-1.0157371759414673
0.004,7211360000.0,0.6475172577080719,-1.620309614568817,-0.05332368612289429,-1.076076865196228
0.004,7211520000.0,0.9423352931564413,-1.8166215916637134,-0.2712441384792328,-1.0810859203338623
0.004,7211680000.0,0.916135176405158,-1.9578743522385451,-0.4194745123386383,-1.0290234088897705
0.004,7211840000.0,0.8165009744381629,-2.064057489963397,-0.5201705694198608,-0.9676072001457214
0.004,7212000000.0,0.9004076053010525,-2.158886264807476,-0.6153689622879028,-0.9228788018226624
0.004,7212160000.0,1.0633601910445687,-2.2035402598452594,-0.6683743000030518,-0.9114288687705994
0.004,7212320000.0,0.8867121364919386,-2.2455026896659893,-0.6918069124221802,-0.8648199439048767
0.004,7212480000.0,0.9033712062493795,-2.2765401872680235,-0.7196902632713318,-0.8445531725883484
0.004,7212640000.0,0.9063306001299863,-2.2950964510983702,-0.7354877591133118,-0.8313369750976562
0.004,7212800000.0,0.8721357509815888,-2.3150891946060064,-0.7490058541297913,-0.8132594227790833
0.004,7212960000.0,0.8546897740227826,-2.2939658721346534,-0.7301931977272034,-0.8272351026535034
0.004,7213120000.0,0.747807597690187,-2.314970054900426,-0.7382655739784241,-0.8017894625663757
0.004,7213280000.0,0.7507254166763024,-2.30140665154589,-0.7275673747062683,-0.8120015263557434
0.004,7213440000.0,0.8874222442407355,-2.288410123172438,-0.7283255457878113,-0.8344176411628723
0.004,7213600000.0,0.7457585462695446,-2.281278454403765,-0.7106704711914062,-0.8260082006454468
0.004,7213760000.0,0.7878240877528443,-2.2560709755908586,-0.692973256111145,-0.8477538228034973
0.004,7213920000.0,0.889394522525922,-2.2257255760742742,-0.6747774481773376,-0.8786031603813171
0.004,7214080000.0,0.9530651003679692,-2.216094519134818,-0.6711864471435547,-0.8915727734565735
0.004,7214240000.0,0.9494724805483595,-2.1643621857484416,-0.6239278316497803,-0.9247040152549744
0.004,7214400000.0,0.8945257300544539,-2.1594031245701832,-0.6154289841651917,-0.9219360947608948
0.004,7214560000.0,0.904584621883324,-2.124160904203132,-0.5832375288009644,-0.9441409707069397
0.004,7214720000.0,0.9357476837498229,-2.098920126350747,-0.561233401298523,-0.9620053172111511
0.004,7214880000.0,0.8830668226439808,-2.0731137856798143,-0.5329810380935669,-0.9702641367912292
0.004,7215040000.0,0.6713632607569925,-2.03110891597963,-0.4799259901046753,-0.9679085612297058
0.004,7215200000.0,0.9502818917413116,-2.0141123343288627,-0.47852858901023865,-1.00777268409729
0.004,7215360000.0,1.0099748220907203,-1.9806393730972311,-0.44759923219680786,-1.0302791595458984
0.004,7215520000.0,0.825843941600571,-1.9540599870875193,-0.4112491011619568,-1.0199580192565918
0.004,7215680000.0,0.898287414212958,-1.9367798885907306,-0.3968597948551178,-1.0355124473571777
0.004,7215840000.0,0.9198057946000543,-1.8859593945271844,-0.3445974588394165,-1.0569506883621216
0.004,7216000000.0,0.8919448397436587,-1.845417660889959,-0.3005099594593048,-1.0666221380233765
0.004,7216160000.0,1.0756599269930622,-1.8232801760584014,-0.2827434241771698,-1.0959497690200806
0.004,7216320000.0,0.8523706089747771,-1.7970320875431405,-0.24743932485580444,-1.074999451637268
0.004,7216480000.0,0.8534868708993608,-1.765724131484398,-0.2136949896812439,-1.0823572874069214
0.004,7216640000.0,0.9766171945686563,-1.7390629635241068,-0.18740342557430267,-1.1031978130340576
0.004,7216800000.0,0.9965163085623645,-1.6952506319344254,-0.13922397792339325,-1.11289381980896
0.004,7216960000.0,1.0436225704460362,-1.6660643500505923,-0.10726823657751083,-1.1225541830062866
0.004,7217120000.0,0.8867806573170385,-1.6234387849037966,-0.05827396735548973,-1.1059538125991821
0.004,7217280000.0,0.9905310667771212,-1.5949300640842006,-0.02704636938869953,-1.120469570159912
0.004,7217440000.0,0.9649616130197407,-1.5858934459609102,-0.01687041111290455,-1.117374062538147
0.004,7217600000.0,0.9857124471513239,-1.521001054521256,0.0557563379406929,-1.1187858581542969
0.004,7217760000.0,0.9982923702158992,-1.497777277645323,0.08183984458446503,-1.118808627128601
0.004,7217920000.0,0.8961036413383847,-1.4561975065840398,0.12677520513534546,-1.1014052629470825
0.004,7218080000.0,0.8697231932054307,-1.4216379457075106,0.16425637900829315,-1.0930423736572266
0.004,7218240000.0,1.046343420688558,-1.3879176734326932,0.20514298975467682,-1.1092103719711304
0.004,7218400000.0,0.8939920495346196,-1.357603115109417,0.23451903462409973,-1.0833138227462769
0.004,7218560000.0,0.854477252927181,-1.331289563199982,0.26174691319465637,-1.0718810558319092
0.004,7218720000.0,0.8729014415301621,-1.2770250694369718,0.3201766014099121,-1.0583492517471313
0.004,7218880000.0,0.8130790494863004,-1.2432638763387143,0.35327696800231934,-1.0397528409957886
0.004,7219040000.0,0.8768992208720754,-1.2074625881886318,0.39314520359039307,-1.0340111255645752
0.004,7219200000.0,0.9167556712182556,-1.164440469712722,0.43926405906677246,-1.020819067955017
0.004,7219360000.0,0.8296798265913474,-1.139590323947269,0.45986005663871765,-0.9995186924934387
0.004,7219520000.0,0.6380672762777171,-1.0923370583477372,0.49550724029541016,-0.9553713202476501
0.004,7219680000.0,0.8833534042041262,-1.0607134724079494,0.5405172109603882,-0.9661279916763306
0.004,7219840000.0,0.6044946709301241,-1.0042149724049614,0.5754364728927612,-0.9045525789260864
0.004,7220000000.0,0.8013658323304478,-0.9787269846815685,0.6120180487632751,-0.9099870920181274
0.00392,7204000000.0,0.8684415853347976,0.848560879758892,0.7305759191513062,0.8292286396026611
0.00392,7204160000.0,0.740579481835917,0.877725063136466,0.6957669854164124,0.8377560973167419
0.00392,7204320000.0,0.8057627545855925,0.9213389876791349,0.6635400056838989,0.8738280534744263
0.00392,7204480000.0,0.7404181735885489,0.9531863832749297,0.6306170225143433,0.887809157371521
0.00392,7204640000.0,0.9522490710278564,0.9737108777228841,0.6273790597915649,0.9227972626686096
0.00392,7204800000.0,0.7640058485466059,0.9978916666348018,0.5919156670570374,0.9175931215286255
0.00392,7204960000.0,0.8373172847137158,1.0233825724343388,0.5731528401374817,0.9402847290039062
0.00392,7205120000.0,0.7113281928118167,1.0382435078923424,0.5510650873184204,0.9350365996360779
