power,frequency,amplitude,phase,I,Q
0.004,7204000000.0,3.6398229516332323,-1.5278511095918983,0.06527884304523468,-1.51911461353302
0.004,7204160000.0,3.8238932577351763,-1.516997388930515,0.08351391553878784,-1.5508359670639038
0.004,7204320000.0,3.8906462640970214,-1.4993982865036748,0.11164764314889908,-1.561077356338501
0.004,7204480000.0,3.816292760648154,-1.4861824525621505,0.1311408132314682,-1.546173095703125
0.004,7204640000.0,3.8353581198097038,-1.4893267143153044,0.12655608355998993,-1.5499762296676636
0.004,7204800000.0,3.754831402826176,-1.4875153057252937,0.1281697303056717,-1.5354431867599487
0.004,7204960000.0,3.8427127190522805,-1.4753831532089376,0.1482807695865631,-1.5493723154067993
0.004,7205120000.0,3.8184354473455966,-1.4548008906750818,0.17963391542434692,-1.5416773557662964
0.004,7205280000.0,3.9019359766008046,-1.4460165163987533,0.1950354427099228,-1.554916262626648
0.004,7205440000.0,3.785657161158613,-1.435303786118405,0.2088664174079895,-1.5320895910263062
0.004,7205600000.0,3.730158542472365,-1.4125155769565396,0.24217043817043304,-1.5172072649002075
0.004,7205760000.0,3.792910513608829,-1.4206399574413742,0.2315026968717575,-1.530139446258545
0.004,7205920000.0,3.6448900837564144,-1.4123609831200334,0.2400369644165039,-1.502348780632019
0.004,7206080000.0,3.9136564610058917,-1.4032474305463443,0.2616920471191406,-1.5472418069839478
0.004,7206240000.0,3.7572305830569714,-1.3995744198131361,0.26260122656822205,-1.5186723470687866
0.004,7206400000.0,3.8285191057891446,-1.3862388318487455,0.28516051173210144,-1.5275211334228516
0.004,7206560000.0,3.6965958667842087,-1.3811053265901139,0.2885817587375641,-1.5030344724655151
0.004,7206720000.0,3.8633380505617336,-1.371641704019145,0.3086616098880768,-1.5293142795562744
0.004,7206880000.0,3.788561763831149,-1.3481418200125583,0.34155863523483276,-1.5085957050323486
0.004,7207040000.0,3.8203113797082384,-1.3489878384632785,0.3415283262729645,-1.5144096612930298
0.004,7207200000.0,3.833615892576292,-1.3413846075043958,0.35357391834259033,-1.5140866041183472
0.004,7207360000.0,3.867398492422546,-1.3251654436794247,0.37955692410469055,-1.5140302181243896
0.004,7207520000.0,3.7582006420976786,-1.3365844302406216,0.357718288898468,-1.4992976188659668
0.004,7207680000.0,3.8774259436724288,-1.3217758755994067,0.38513100147247314,-1.5144823789596558
0.004,7207840000.0,3.732664231043507,-1.31852618863468,0.3836037218570709,-1.488211989402771
0.004,7208000000.0,3.708051356598232,-1.3095525031228636,0.39581963419914246,-1.48050856590271
0.004,7208160000.0,3.6776169038795525,-1.2876675771805206,0.4266256093978882,-1.4663453102111816
0.004,7208320000.0,3.742182140513502,-1.2832426628432205,0.4363413155078888,-1.4753694534301758
0.004,7208480000.0,3.721348751675457,-1.280295670079571,0.4396315813064575,-1.470545768737793
0.004,7208640000.0,3.7269241350727382,-1.2650074815209473,0.4623579978942871,-1.4645928144454956
0.004,7208800000.0,3.7886919801434784,-1.2679431674214467,0.46132540702819824,-1.4764057397842407
0.004,7208960000.0,3.6120900842536146,-1.2600376592036873,0.4634630084037781,-1.443071722984314
0.004,7209120000.0,3.6753817230471424,-1.2592397880273851,0.46801212430000305,-1.4532524347305298
0.004,7209280000.0,3.946861887200814,-1.2460808545925526,0.5025590062141418,-1.4929078817367554
0.004,7209440000.0,3.7266289955194947,-1.2485745405296502,0.4863455295562744,-1.4567480087280273
0.004,7209600000.0,3.7269100157017476,-1.2283507362438275,0.5157217383384705,-1.4466618299484253
0.004,7209760000.0,3.6661156959498276,-1.2174834076857164,0.5277058482170105,-1.4309215545654297
0.004,7209920000.0,3.4617912867513696,-1.2234539417605172,0.5070832371711731,-1.4007062911987305
0.004,7210080000.0,3.751261699493416,-1.2371237231091086,0.5044227242469788,-1.4552046060562134
0.004,7210240000.0,3.698154811735217,-1.2297321281568,0.5120249390602112,-1.4425891637802124
0.004,7210400000.0,3.533655459950704,-1.2173999997600702,0.5198369026184082,-1.40922212600708
