power,frequency,amplitude,phase,I,Q
0.005,7045000000.0,-53.4892935715896,0.7043307621076473,0.0016125603578984737,0.0013702227734029293
0.005,7045100000.0,-53.43001927414236,0.7241781077440506,0.001595902955159545,0.0014115558005869389
0.005,7045200000.0,-53.451258483102755,0.7213074918321007,0.0015960409073159099,0.0014035325730219483
0.005,7045300000.0,-53.59869863295714,0.6924095995078122,0.001608393038623035,0.0013339933939278126
0.005,7045400000.0,-53.75510646280369,0.6876909334689459,0.0015858544502407312,0.0013027184177190065
0.005,7045500000.0,-53.713512441104704,0.7018559295376905,0.0015747660072520375,0.0013314110692590475
0.005,7045600000.0,-53.63686504760659,0.7104003633508287,0.0015771889593452215,0.0013567374553531408
0.005,7045700000.0,-53.61945154109996,0.7036667343508486,0.001589472289197147,0.0013487879186868668
0.005,7045800000.0,-53.562357786556696,0.7046969445484428,0.0015985550126060843,0.001359330490231514
0.005,7045900000.0,-53.60884639833713,0.6962407846738703,0.0016013984568417072,0.0013385808560997248
0.005,7046000000.0,-53.56604682569352,0.6895904872588166,0.0016182190738618374,0.0013344609178602695
0.005,7046100000.0,-53.823447469741765,0.6863295742280348,0.0015751839382573962,0.0012903655879199505
0.005,7046200000.0,-54.02470840204024,0.6713231212835314,0.0015578512102365494,0.0012375726364552975
0.005,7046300000.0,-53.98884021967787,0.6866914735914792,0.0015450154896825552,0.0012665867106989026
0.005,7046400000.0,-53.81279779826697,0.6586632079555372,0.0016122518572956324,0.0012478267308324575
0.005,7046500000.0,-53.86109812498556,0.6365757813024562,0.0016303265001624823,0.0012051942758262157
0.005,7046600000.0,-53.974191727498166,0.6000334577694021,0.0016516235191375017,0.0011300175683572888
0.005,7046700000.0,-54.009675411805354,0.6266263095183424,0.0016143841203302145,0.0011687498772516847
0.005,7046800000.0,-54.12589415581431,0.5874229816134332,0.0016369016375392675,0.0010898978216573596
0.005,7046900000.0,-54.141199844666446,0.5719857251311329,0.0016506197862327099,0.001062625553458929
