power,frequency,amplitude,phase,I,Q
0.005,7670000000.0,-40.464180094820534,-3.0215093520329126,-0.00941135548055172,-0.0011356103932484984
0.005,7670150000.0,-40.473159152116345,-3.0559338376967737,-0.009435106068849564,-0.0008101825369521976
0.005,7670300000.0,-40.55915788938552,-3.0394344996893987,-0.009327643550932407,-0.0009562236373312771
0.005,7670450000.0,-40.2992612609696,-3.0603083849436463,-0.009629431180655956,-0.0007844496867619455
0.005,7670600000.0,-40.26185164596101,-3.0682561709900567,-0.009676950052380562,-0.0007109484868124127
0.005,7670750000.0,-40.242981814788344,-3.06936025620905,-0.00969877652823925,-0.0007017868338152766
0.005,7670900000.0,-40.25621590933884,-3.098173838283544,-0.009700178168714046,-0.0004214351065456867
0.005,7671050000.0,-40.2934859215988,-3.1057171634001195,-0.009661535732448101,-0.000346761109540239
0.005,7671200000.0,-40.2552729997449,-3.136975858785364,-0.009710279293358326,-4.483068551053293e-05
0.005,7671350000.0,-40.21239362307515,3.104195157559847,-0.00975161511451006,0.00036485609598457813
0.005,7671500000.0,-40.27917161522056,3.0813453637680546,-0.009666132740676403,0.0005830639274790883
0.005,7671650000.0,-40.29739668207702,3.03376563071414,-0.009607282467186451,0.0010399582097306848
0.005,7671800000.0,-40.183784221562604,3.0046454902345796,-0.009698967449367046,0.0013366123894229531
0.005,7671950000.0,-40.0718911704059,2.9449646537192975,-0.00972647126764059,0.001937531167641282
0.005,7672100000.0,-40.14607842355155,2.8422248073032663,-0.009395875968039036,0.0028999783098697662
0.005,7672250000.0,-40.15421833563422,2.7824073862395364,-0.009197082370519638,0.0034532558638602495
0.005,7672400000.0,-40.157292428245945,2.662563027204541,-0.00871516577899456,0.004526466131210327
0.005,7672550000.0,-40.31392473114036,2.5634270634768113,-0.008077393285930157,0.005270901136100292
0.005,7672700000.0,-40.5090874035001,2.3790367932799814,-0.00681910989806056,0.0065144868567585945
0.005,7672850000.0,-40.52506552976348,2.13970486193711,-0.005071121733635664,0.00793069414794445
0.005,7673000000.0,-40.45302205532241,1.8582781564382285,-0.002691290806978941,0.009102271869778633
0.005,7673150000.0,-40.94169372249791,1.4025505147699306,0.001502480125054717,0.00884584616869688
0.005,7673300000.0,-41.566398092496556,0.8433651310281296,0.005552277900278568,0.006236398126929998
0.005,7673450000.0,-41.85876814169515,0.2747799420673557,0.007770617492496967,0.002190622966736555
0.005,7673600000.0,-41.425660611770816,-0.2658514539466155,0.008188142441213131,-0.002229606034234166
0.005,7673750000.0,-41.270529391880586,-0.7836771745768008,0.0061193411238491535,-0.00609831465408206
0.005,7673900000.0,-40.440574888115826,-1.1332186971192015,0.004027888644486666,-0.008609825745224953
0.005,7674050000.0,-40.706918274453116,-1.3863200509789884,0.0016909412806853652,-0.009061955846846104
0.005,7674200000.0,-40.53351940834587,-1.5864957732542362,-0.00014763540821149945,-0.009403088130056858
0.005,7674350000.0,-40.46375186228605,-1.7362031583704878,-0.001560930977575481,-0.009350699372589588
0.005,7674500000.0,-40.555344648676055,-1.8419406311956272,-0.0025124570820480585,-0.0090379249304533
0.005,7674650000.0,-40.06909934447991,-1.926034594884,-0.003450577612966299,-0.00930134579539299
0.005,7674800000.0,-40.24248033862801,-2.0245057033384626,-0.004262359347194433,-0.008740822784602642
0.005,7674950000.0,-40.41926738168324,-2.07077653773388,-0.004568167962133884,-0.008362368680536747
0.005,7675100000.0,-40.231777739503364,-2.0959146111701514,-0.004881149623543024,-0.008424809202551842
0.005,7675250000.0,-39.92079385998849,-2.141160612682039,-0.005448848940432072,-0.008494148962199688
0.005,7675400000.0,-40.46130789455386,-2.183333776987235,-0.005452067591249943,-0.007758713327348232
0.005,7675550000.0,-40.37146796765409,-2.181555847550337,-0.00549480551853776,-0.007849161513149738
0.005,7675700000.0,-39.966634329569196,-2.2259159524249617,-0.0061159897595644,-0.007960270158946514
0.005,7675850000.0,-39.97236717889427,-2.2572962224082733,-0.006358535028994083,-0.007759338244795799
0.005,7676000000.0,-40.12297573407728,-2.280146156931052,-0.006421837955713272,-0.007481182459741831
0.005,7676150000.0,-40.267001060135705,-2.2964602462678982,-0.006435427814722061,-0.00725413765758276
0.005,7676300000.0,-40.4931080710438,-2.3070687770931553,-0.006344689521938562,-0.007000825367867947
0.005,7676450000.0,-40.28176650164521,-2.2990103237265065,-0.006442943587899208,-0.007225410081446171
0.005,7676600000.0,-40.36872718668141,-2.3167916813617295,-0.006504943128675222,-0.0070388843305408955
0.005,7676750000.0,-40.1966904878626,-2.3222376222019534,-0.006674068979918957,-0.007143449038267136
0.005,7676900000.0,-40.177517950116396,-2.361095769232843,-0.006961892358958721,-0.0068939803168177605
0.005,7677050000.0,-40.15304415539206,-2.3251871716023795,-0.006728837266564369,-0.007159619126468897
0.005,7677200000.0,-40.22227614024456,-2.3323901080713934,-0.006726404651999474,-0.007054512854665518
0.005,7677350000.0,-40.28510080514556,-2.3212595153367652,-0.006599561311304569,-0.007077565882354975
0.005,7677500000.0,-40.34121626582195,-2.328318422715783,-0.006606536451727152,-0.0069855279289186
0.005,7677650000.0,-39.93308370066825,-2.35857636750625,-0.00714270630851388,-0.0071087609976530075
0.005,7677800000.0,-40.24005796513034,-2.363925760451007,-0.006931287702172995,-0.006824932526797056
0.005,7677950000.0,-40.03009266499957,-2.3736539777528325,-0.007168562151491642,-0.0069225141778588295
0.005,7678100000.0,-40.20353575048661,-2.3768484963856933,-0.007048478350043297,-0.006763171870261431
0.005,7678250000.0,-40.00235077750005,-2.359457907359861,-0.007092186249792576,-0.007046047132462263
0.005,7678400000.0,-40.14859215426935,-2.360076010090666,-0.006978058256208897,-0.006924096494913101
0.005,7678550000.0,-40.18687504900676,-2.372137861813798,-0.007030013017356396,-0.006809348240494728
0.005,7678700000.0,-40.04162594505681,-2.3947747587631425,-0.0073034572415053844,-0.0067605930380523205
0.005,7678850000.0,-40.215981067112665,-2.365818815592591,-0.006963470950722694,-0.0068307071924209595
0.005,7679000000.0,-39.87718992585239,-2.3901480453280954,-0.007411082275211811,-0.006924162618815899
0.005,7679150000.0,-40.02081257746902,-2.356735627164958,-0.007057961076498032,-0.007050326559692621
0.005,7679300000.0,-39.966985757642654,-2.4025292740367448,-0.007419143803417683,-0.006761610973626375
